net,length_um
net61,120.525µm
net55,89.015µm
net54,86.72µm
net78,86.245µm
net76,80.08µm
net72,78.21µm
net77,76.92µm
_124_,74.205µm
net60,72.35µm
net68,70.735µm
net59,70.465µm
net64,69.575µm
_045_,68.855µm
_107_,68.84µm
net63,68.765µm
net69,66.17µm
net58,61.695µm
net57,60.43µm
_022_,60.17µm
_110_,58.08µm
DPATH.SUM.ha_0.S,57.015µm
DPATH.SUM.fa_6.A,55.88µm
net73,55.355µm
net75,55.085µm
net35,54.53µm
_019_,54.2µm
net31,53.36µm
net65,52.91µm
net62,52.185µm
sine_out[0],52.1µm
net32,51.65µm
signB,49.27µm
_096_,46.9µm
net26,46.725µm
sine_out[32],46.71µm
sine_out[2],45.98µm
sine_out[5],45.58µm
sine_out[3],45.56µm
_102_,44.79µm
clknet_1_0__leaf_clk,44.54µm
_114_,44.195µm
sine_out[1],44.06µm
net56,43.775µm
sine_out[4],43.42µm
clk,43.39µm
sine_out[26],42.63µm
sine_out[6],42.36µm
_065_,42.065µm
net7,41.78µm
sine_out[31],41.73µm
net28,41.58µm
_063_,40.595µm
net21,40.21µm
_117_,39.785µm
sine_out[28],38.18µm
net66,37.89µm
net34,37.74µm
sine_out[30],37.7µm
_122_,37.185µm
net67,36.92µm
net71,36.51µm
_042_,35.96µm
_009_,35.82µm
net20,35.64µm
net70,34.71µm
sine_out[27],34.64µm
_109_,34.28µm
_014_,33.4µm
_111_,33.3µm
clknet_1_1__leaf_clk,33.02µm
_040_,32.985µm
clknet_0_clk,32.84µm
sine_out[7],32.79µm
_113_,32.64µm
net30,32.58µm
_029_,32.445µm
net74,32.085µm
net2,32µm
_118_,30.805µm
sine_out[9],30.54µm
sine_out[25],30.38µm
sine_out[8],29.97µm
_101_,29.775µm
sine_out[10],29.6µm
net5,28.33µm
_112_,28µm
_088_,27.96µm
sine_out[11],26.24µm
net19,26.04µm
sine_out[23],25.865µm
_018_,25.56µm
net15,25.38µm
net6,25.08µm
net13,24.68µm
sine_out[12],24.32µm
net45,24.26µm
net22,24.25µm
_119_,23.705µm
_035_,23.34µm
net36,23.205µm
_051_,23.16µm
sine_out[24],22.88µm
sine_out[13],22.77µm
sine_out[29],22.29µm
_100_,22.08µm
net14,21.66µm
net8,21µm
net23,20.71µm
net4,20.58µm
net49,20.565µm
_093_,20.34µm
_047_,20.05µm
_070_,19.26µm
DPATH.SUM.fa_3.A,18.655µm
sine_out[14],18.56µm
sine_out[15],18.56µm
sine_out[16],18.56µm
sine_out[17],18.56µm
sine_out[18],18.56µm
_085_,18.525µm
_034_,18.14µm
_030_,18.06µm
_106_,17.745µm
sine_out[19],17.6µm
sine_out[20],17.6µm
sine_out[21],17.6µm
sine_out[22],17.6µm
_011_,17.41µm
net12,17.34µm
net3,17.22µm
net25,17.05µm
_036_,16.98µm
DPATH.SUM.fa_5.A,16.86µm
_050_,16.68µm
_071_,16.68µm
DPATH.SUM.fa_2.A,16.555µm
_099_,16.52µm
_005_,16.45µm
_041_,16.45µm
_058_,16.45µm
_043_,16.2µm
rst,16.09µm
_057_,16.08µm
_121_,15.99µm
_052_,15.98µm
_091_,15.91µm
_069_,15.72µm
_115_,15.665µm
_078_,15.56µm
_098_,15.5µm
sign,15.25µm
_076_,15.205µm
net42,15.14µm
_006_,14.605µm
net11,14.46µm
_082_,14.42µm
_097_,14.35µm
_016_,14.045µm
net27,14µm
_103_,13.905µm
_024_,13.86µm
net48,13.38µm
net10,13.21µm
DPATH.SUM.fa_1.A,13.02µm
_075_,12.91µm
_038_,12.48µm
_108_,12.43µm
CTRL.P0,11.95µm
_025_,11.77µm
net33,11.625µm
_105_,11.575µm
_066_,11.46µm
_089_,10.93µm
_087_,10.925µm
_037_,10.775µm
_077_,10.62µm
net43,10.56µm
net29,10.38µm
net40,10.09µm
DPATH.SUM.fa_6.S,10.08µm
net1,9.97µm
_007_,9.55µm
_028_,9.535µm
DPATH.SUM.Cout0,9.475µm
DPATH.SUM.fa_5.S,9.24µm
_032_,9.07µm
_061_,9µm
net17,8.805µm
_116_,8.715µm
_021_,8.52µm
_059_,8.52µm
_084_,8.4µm
net9,8.16µm
_094_,8.11µm
_031_,8.05µm
_074_,7.98µm
_068_,7.86µm
_008_,7.69µm
_060_,7.69µm
_053_,7.68µm
_054_,7.68µm
net24,7.57µm
_049_,7.54µm
_039_,7.51µm
net38,7.26µm
net16,7.21µm
_015_,7.15µm
_026_,7.09µm
_033_,6.965µm
_010_,6.72µm
net39,6.67µm
_002_,6.61µm
_120_,6.61µm
net47,6.5µm
_048_,6.06µm
_003_,6.02µm
_046_,6.02µm
_123_,6.01µm
_023_,5.71µm
_072_,5.64µm
DPATH.SUM.fa_3.S,5.58µm
_017_,5.16µm
_055_,5µm
_067_,4.965µm
DPATH.SUM.fa_1.S,4.74µm
_079_,4.58µm
_090_,4.02µm
_092_,4.02µm
_001_,3.9µm
_004_,3.9µm
_020_,3.9µm
_027_,3.9µm
_080_,3.9µm
_086_,3.9µm
net46,3.9µm
_064_,3.715µm
_000_,3.62µm
_044_,3.62µm
_081_,3.61µm
_056_,3.56µm
_012_,3.42µm
net37,3.42µm
net44,3.42µm
_073_,3.13µm
_083_,3.13µm
CTRL.S0,3µm
net18,3µm
_062_,2.94µm
DPATH.SUM.fa_4.S,2.58µm
net41,2.52µm
_095_,2.28µm
_013_,2.275µm
DPATH.SUM.fa_4.A,1.92µm
DPATH.SUM.fa_2.S,1.86µm
_104_,1.8µm
CTRL.P1,1.38µm
