Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_121,VSS,Metal1,64.3200,68.0400,0.000000
FILLER_14_0,VSS,Metal1,6.0000,68.0400,0.000000
FILLER_13_121,VSS,Metal1,64.3200,68.0400,0.000000
FILLER_13_84,VSS,Metal1,46.3200,68.0400,0.000000
FILLER_13_58,VSS,Metal1,33.8400,68.0400,0.000000
FILLER_13_40,VSS,Metal1,25.2000,68.0400,0.000000
FILLER_13_38,VSS,Metal1,24.4800,68.0400,0.000000
FILLER_12_121,VSS,Metal1,64.3200,60.4800,0.000000
FILLER_12_84,VSS,Metal1,46.3200,60.4800,0.000000
FILLER_12_78,VSS,Metal1,43.4400,60.4800,0.000000
FILLER_12_76,VSS,Metal1,42.7200,60.4800,0.000000
FILLER_12_67,VSS,Metal1,38.1600,60.4800,0.000000
FILLER_12_65,VSS,Metal1,37.4400,60.4800,0.000000
FILLER_12_55,VSS,Metal1,32.4000,60.4800,0.000000
FILLER_12_40,VSS,Metal1,25.4400,60.4800,0.000000
FILLER_12_25,VSS,Metal1,18.2400,60.4800,0.000000
FILLER_12_11,VSS,Metal1,11.2800,60.4800,0.000000
FILLER_12_0,VSS,Metal1,6.0000,60.4800,0.000000
FILLER_11_122,VSS,Metal1,64.5600,60.4800,0.000000
FILLER_11_106,VSS,Metal1,56.8800,60.4800,0.000000
FILLER_11_90,VSS,Metal1,49.2000,60.4800,0.000000
FILLER_11_84,VSS,Metal1,46.3200,60.4800,0.000000
FILLER_11_82,VSS,Metal1,45.6000,60.4800,0.000000
FILLER_11_69,VSS,Metal1,39.1200,60.4800,0.000000
FILLER_11_67,VSS,Metal1,38.4000,60.4800,0.000000
FILLER_11_23,VSS,Metal1,17.0400,60.4800,0.000000
FILLER_11_21,VSS,Metal1,16.3200,60.4800,0.000000
FILLER_10_99,VSS,Metal1,53.5200,52.9200,0.000000
FILLER_10_97,VSS,Metal1,52.8000,52.9200,0.000000
FILLER_10_87,VSS,Metal1,47.7600,52.9200,0.000000
FILLER_10_81,VSS,Metal1,44.8800,52.9200,0.000000
FILLER_10_79,VSS,Metal1,44.1600,52.9200,0.000000
FILLER_10_73,VSS,Metal1,41.0400,52.9200,0.000000
FILLER_10_43,VSS,Metal1,26.6400,52.9200,0.000000
FILLER_10_41,VSS,Metal1,25.9200,52.9200,0.000000
FILLER_9_95,VSS,Metal1,51.8400,52.9200,0.000000
FILLER_9_65,VSS,Metal1,37.4400,52.9200,0.000000
FILLER_9_59,VSS,Metal1,34.3200,52.9200,0.000000
FILLER_9_57,VSS,Metal1,33.6000,52.9200,0.000000
FILLER_9_46,VSS,Metal1,28.0800,52.9200,0.000000
FILLER_9_35,VSS,Metal1,22.8000,52.9200,0.000000
FILLER_9_33,VSS,Metal1,22.0800,52.9200,0.000000
FILLER_8_122,VSS,Metal1,64.5600,45.3600,0.000000
FILLER_8_120,VSS,Metal1,63.8400,45.3600,0.000000
FILLER_8_94,VSS,Metal1,51.1200,45.3600,0.000000
FILLER_8_92,VSS,Metal1,50.4000,45.3600,0.000000
FILLER_8_65,VSS,Metal1,37.2000,45.3600,0.000000
FILLER_8_27,VSS,Metal1,18.9600,45.3600,0.000000
FILLER_8_25,VSS,Metal1,18.2400,45.3600,0.000000
FILLER_8_0,VSS,Metal1,6.0000,45.3600,0.000000
FILLER_7_109,VSS,Metal1,58.3200,45.3600,0.000000
