Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_121,VDD,Metal1,64.3200,71.8200,1.200000
FILLER_14_0,VDD,Metal1,6.0000,71.8200,1.200000
FILLER_13_121,VDD,Metal1,64.3200,64.2600,1.200000
FILLER_13_84,VDD,Metal1,46.3200,64.2600,1.200000
FILLER_13_58,VDD,Metal1,33.8400,64.2600,1.200000
FILLER_13_40,VDD,Metal1,25.2000,64.2600,1.200000
FILLER_13_38,VDD,Metal1,24.4800,64.2600,1.200000
FILLER_12_121,VDD,Metal1,64.3200,64.2600,1.200000
FILLER_12_84,VDD,Metal1,46.3200,64.2600,1.200000
FILLER_12_78,VDD,Metal1,43.4400,64.2600,1.200000
FILLER_12_76,VDD,Metal1,42.7200,64.2600,1.200000
FILLER_12_67,VDD,Metal1,38.1600,64.2600,1.200000
FILLER_12_65,VDD,Metal1,37.4400,64.2600,1.200000
FILLER_12_55,VDD,Metal1,32.4000,64.2600,1.200000
FILLER_12_40,VDD,Metal1,25.4400,64.2600,1.200000
FILLER_12_25,VDD,Metal1,18.2400,64.2600,1.200000
FILLER_12_11,VDD,Metal1,11.2800,64.2600,1.200000
FILLER_12_0,VDD,Metal1,6.0000,64.2600,1.200000
FILLER_11_122,VDD,Metal1,64.5600,56.7000,1.200000
FILLER_11_106,VDD,Metal1,56.8800,56.7000,1.200000
FILLER_11_90,VDD,Metal1,49.2000,56.7000,1.200000
FILLER_11_84,VDD,Metal1,46.3200,56.7000,1.200000
FILLER_11_82,VDD,Metal1,45.6000,56.7000,1.200000
FILLER_11_69,VDD,Metal1,39.1200,56.7000,1.200000
FILLER_11_67,VDD,Metal1,38.4000,56.7000,1.200000
FILLER_11_23,VDD,Metal1,17.0400,56.7000,1.200000
FILLER_11_21,VDD,Metal1,16.3200,56.7000,1.200000
FILLER_10_99,VDD,Metal1,53.5200,56.7000,1.200000
FILLER_10_97,VDD,Metal1,52.8000,56.7000,1.200000
FILLER_10_87,VDD,Metal1,47.7600,56.7000,1.200000
