2026-03-28 21:41:06 +0000: Memory Usage (425676K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/BASIC/current_generator/digital/DigitalSine/runs/RUN_2026-03-28_21-39-37/57-magic-streamout/DigitalSine.gds
2026-03-28 21:41:06 +0000: Memory Usage (425676K) : Ruby Version for klayout: 3.3.10
2026-03-28 21:41:06 +0000: Memory Usage (426572K) : Loading database to memory is complete.
2026-03-28 21:41:06 +0000: Memory Usage (426572K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/BASIC/current_generator/digital/DigitalSine/runs/RUN_2026-03-28_21-39-37/65-klayout-drc/reports/drc.klayout.lyrdb
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : Evaluate switches.
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : tables selected: main
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : KLayout will use 12 thread(s) in tiling mode.
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : deep mode is enabled.
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : FEOL enabled: true
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : BEOL enabled: true
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : OFFGRID enabled: true
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : PIN enabled: true
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : FORBIDDEN enabled: true
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : RECOMMENDED enabled: false
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : PreCheck DRC enabled: false
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : CONNECTIVITY_RULES enabled: true.
2026-03-28 21:41:06 +0000: Memory Usage (426700K) : Read in polygons from layers.
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : activ_drw has 1519 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : activ_pin has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : activ_mask has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : activ_filler has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : activ_nofill has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : activ_opc has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : activ_iopc has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : activ_noqrc has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : biwind_drw has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : biwind_opc has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : pemwind_drw has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : gatpoly_drw has 1234 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : gatpoly_pin has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : gatpoly_filler has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : gatpoly_nofill has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : gatpoly_opc has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : gatpoly_iopc has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (428108K) : gatpoly_noqrc has 0 polygons
