Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_89,VDD,Metal1,48.7200,64.2600,1.199997
FILLER_13_85,VDD,Metal1,47.5310,64.8560,1.199998
FILLER_13_78,VDD,Metal1,44.8890,64.8580,1.199998
FILLER_13_73,VDD,Metal1,41.0400,64.2600,1.199998
FILLER_13_69,VDD,Metal1,39.8510,64.8560,1.199998
FILLER_13_62,VDD,Metal1,37.2090,64.8580,1.199998
FILLER_13_55,VDD,Metal1,33.8490,64.8580,1.199998
FILLER_13_44,VDD,Metal1,28.5690,64.8580,1.199998
FILLER_13_37,VDD,Metal1,25.2090,64.8580,1.200000
FILLER_13_30,VDD,Metal1,21.8490,64.8580,1.200000
FILLER_13_23,VDD,Metal1,18.4890,64.8580,1.200000
FILLER_13_14,VDD,Metal1,13.4510,64.8560,1.200000
FILLER_13_7,VDD,Metal1,10.8090,64.8580,1.200000
FILLER_13_0,VDD,Metal1,7.4490,64.8580,1.200000
FILLER_12_114,VDD,Metal1,60.7200,64.2600,1.199997
FILLER_12_86,VDD,Metal1,47.5200,64.2600,1.199998
FILLER_12_82,VDD,Metal1,46.0910,63.6630,1.199998
FILLER_12_77,VDD,Metal1,42.9600,64.2600,1.199998
FILLER_12_75,VDD,Metal1,42.2400,64.2600,1.199998
FILLER_12_42,VDD,Metal1,26.1600,64.2600,1.200000
FILLER_12_40,VDD,Metal1,25.4400,64.2600,1.200000
FILLER_12_29,VDD,Metal1,19.9200,64.2600,1.200000
FILLER_12_7,VDD,Metal1,9.6000,64.2600,1.200000
FILLER_12_0,VDD,Metal1,7.4490,63.6610,1.200000
FILLER_11_95,VDD,Metal1,51.8400,56.7000,1.199903
FILLER_11_76,VDD,Metal1,42.7200,56.7000,1.199909
FILLER_11_70,VDD,Metal1,39.8400,56.7000,1.199909
FILLER_11_63,VDD,Metal1,37.6890,57.2980,1.199909
FILLER_11_44,VDD,Metal1,27.1200,56.7000,1.199993
FILLER_11_42,VDD,Metal1,26.4000,56.7000,1.199993
FILLER_11_36,VDD,Metal1,23.2800,56.7000,1.199997
FILLER_11_31,VDD,Metal1,20.8800,56.7000,1.199998
FILLER_11_27,VDD,Metal1,19.6910,57.2960,1.199999
FILLER_11_21,VDD,Metal1,16.0800,56.7000,1.199999
FILLER_11_19,VDD,Metal1,15.3600,56.7000,1.199999
FILLER_11_14,VDD,Metal1,12.7200,56.7000,1.199999
FILLER_11_7,VDD,Metal1,9.6000,56.7000,1.199999
FILLER_11_0,VDD,Metal1,7.4490,57.2980,1.199999
FILLER_10_102,VDD,Metal1,54.9600,56.7000,1.199903
FILLER_10_95,VDD,Metal1,51.8400,56.7000,1.199903
FILLER_10_83,VDD,Metal1,45.8400,56.7000,1.199905
FILLER_10_81,VDD,Metal1,45.1200,56.7000,1.199905
FILLER_10_76,VDD,Metal1,42.4800,56.7000,1.199909
FILLER_10_74,VDD,Metal1,41.7600,56.7000,1.199909
FILLER_10_67,VDD,Metal1,38.4000,56.7000,1.199909
FILLER_10_63,VDD,Metal1,36.9710,56.1030,1.199909
FILLER_10_49,VDD,Metal1,29.5200,56.7000,1.199987
FILLER_10_45,VDD,Metal1,28.3310,56.1030,1.199991
FILLER_10_34,VDD,Metal1,23.7690,56.1010,1.199997
FILLER_10_27,VDD,Metal1,20.4090,56.1010,1.199999
FILLER_10_0,VDD,Metal1,6.2400,56.7000,1.199999
FILLER_9_101,VDD,Metal1,54.4800,49.1400,1.199975
FILLER_9_85,VDD,Metal1,46.8000,49.1400,1.199977
FILLER_9_77,VDD,Metal1,42.9600,49.1400,1.199980
FILLER_9_73,VDD,Metal1,41.7710,49.7360,1.199980
FILLER_9_62,VDD,Metal1,37.2090,49.7380,1.199980
FILLER_9_46,VDD,Metal1,28.3200,49.1400,1.199981
FILLER_9_35,VDD,Metal1,23.0400,49.1400,1.199983
FILLER_9_23,VDD,Metal1,17.2800,49.1400,1.200000
FILLER_9_19,VDD,Metal1,15.8510,49.7360,1.200000
FILLER_9_0,VDD,Metal1,7.4490,49.7380,1.200000
FILLER_8_100,VDD,Metal1,54.0000,49.1400,1.199975
FILLER_8_81,VDD,Metal1,44.8800,49.1400,1.199978
FILLER_8_65,VDD,Metal1,37.4400,49.1400,1.199980
FILLER_8_50,VDD,Metal1,30.0000,49.1400,1.199981
FILLER_8_29,VDD,Metal1,19.9200,49.1400,1.200000
FILLER_8_18,VDD,Metal1,14.6400,49.1400,1.200000
FILLER_8_7,VDD,Metal1,9.6000,49.1400,1.200000
FILLER_8_0,VDD,Metal1,7.4490,48.5410,1.200000
FILLER_7_96,VDD,Metal1,52.3200,41.5800,1.199997
FILLER_7_89,VDD,Metal1,48.9600,41.5800,1.199997
FILLER_7_70,VDD,Metal1,39.8400,41.5800,1.199997
FILLER_7_61,VDD,Metal1,35.2800,41.5800,1.199998
FILLER_7_59,VDD,Metal1,34.5600,41.5800,1.199998
