Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_89,VSS,Metal1,48.7200,68.0400,0.000000
FILLER_13_85,VSS,Metal1,47.5080,67.6630,0.000000
FILLER_13_78,VSS,Metal1,44.8860,67.5790,0.000000
FILLER_13_73,VSS,Metal1,41.0400,68.0400,0.000000
FILLER_13_69,VSS,Metal1,39.8280,67.6630,0.000000
FILLER_13_62,VSS,Metal1,37.2060,67.5790,0.000000
FILLER_13_55,VSS,Metal1,33.8460,67.5790,0.000000
FILLER_13_44,VSS,Metal1,28.5660,67.5790,0.000000
FILLER_13_37,VSS,Metal1,25.2060,67.5790,0.000000
FILLER_13_30,VSS,Metal1,21.8460,67.5790,0.000000
FILLER_13_23,VSS,Metal1,18.4860,67.5790,0.000000
FILLER_13_14,VSS,Metal1,13.4280,67.6630,0.000000
FILLER_13_7,VSS,Metal1,10.8060,67.5790,0.000000
FILLER_13_0,VSS,Metal1,7.4460,67.5790,0.000000
FILLER_12_114,VSS,Metal1,60.7200,60.4800,0.000000
FILLER_12_86,VSS,Metal1,47.5200,60.4800,0.000000
FILLER_12_82,VSS,Metal1,46.0680,60.8560,0.000000
FILLER_12_77,VSS,Metal1,42.9600,60.4800,0.000000
FILLER_12_75,VSS,Metal1,42.2400,60.4800,0.000000
FILLER_12_42,VSS,Metal1,26.1600,60.4800,0.000000
FILLER_12_40,VSS,Metal1,25.4400,60.4800,0.000000
FILLER_12_29,VSS,Metal1,19.9200,60.4800,0.000000
FILLER_12_7,VSS,Metal1,9.6000,60.4800,0.000000
FILLER_12_0,VSS,Metal1,7.4460,60.9400,0.000000
FILLER_11_95,VSS,Metal1,51.8400,60.4800,0.000000
FILLER_11_76,VSS,Metal1,42.7200,60.4800,0.000000
FILLER_11_70,VSS,Metal1,39.8400,60.4800,0.000000
FILLER_11_63,VSS,Metal1,37.6860,60.0190,0.000000
FILLER_11_44,VSS,Metal1,27.1200,60.4800,0.000000
FILLER_11_42,VSS,Metal1,26.4000,60.4800,0.000000
FILLER_11_36,VSS,Metal1,23.2800,60.4800,0.000000
FILLER_11_31,VSS,Metal1,20.8800,60.4800,0.000000
FILLER_11_27,VSS,Metal1,19.6680,60.1030,0.000000
FILLER_11_21,VSS,Metal1,16.0800,60.4800,0.000000
FILLER_11_19,VSS,Metal1,15.3600,60.4800,0.000000
FILLER_11_14,VSS,Metal1,12.7200,60.4800,0.000000
FILLER_11_7,VSS,Metal1,9.6000,60.4800,0.000000
FILLER_11_0,VSS,Metal1,7.4460,60.0190,0.000000
FILLER_10_102,VSS,Metal1,54.9600,52.9200,0.000038
FILLER_10_95,VSS,Metal1,51.8400,52.9200,0.000038
FILLER_10_83,VSS,Metal1,45.8400,52.9200,0.000038
FILLER_10_81,VSS,Metal1,45.1200,52.9200,0.000038
FILLER_10_76,VSS,Metal1,42.4800,52.9200,0.000021
FILLER_10_74,VSS,Metal1,41.7600,52.9200,0.000021
FILLER_10_67,VSS,Metal1,38.4000,52.9200,0.000018
FILLER_10_63,VSS,Metal1,36.9480,53.2960,0.000018
FILLER_10_49,VSS,Metal1,29.5200,52.9200,0.000016
FILLER_10_45,VSS,Metal1,28.3080,53.2960,0.000004
FILLER_10_34,VSS,Metal1,23.7660,53.3800,0.000001
FILLER_10_27,VSS,Metal1,20.4060,53.3800,0.000001
FILLER_10_0,VSS,Metal1,6.2400,52.9200,0.000001
FILLER_9_101,VSS,Metal1,54.4800,52.9200,0.000038
FILLER_9_85,VSS,Metal1,46.8000,52.9200,0.000038
FILLER_9_77,VSS,Metal1,42.9600,52.9200,0.000021
FILLER_9_73,VSS,Metal1,41.7480,52.5430,0.000021
FILLER_9_62,VSS,Metal1,37.2060,52.4590,0.000018
FILLER_9_46,VSS,Metal1,28.3200,52.9200,0.000004
FILLER_9_35,VSS,Metal1,23.0400,52.9200,0.000001
FILLER_9_23,VSS,Metal1,17.2800,52.9200,0.000001
