Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_2,VDD,Metal1,6.9600,71.8200,1.200000
FILLER_14_0,VDD,Metal1,6.2400,71.8200,1.200000
FILLER_13_118,VDD,Metal1,62.6400,64.2600,1.200000
FILLER_13_81,VDD,Metal1,45.1200,64.2600,1.200000
FILLER_13_70,VDD,Metal1,39.6000,64.2600,1.200000
FILLER_13_46,VDD,Metal1,28.0800,64.2600,1.200000
FILLER_13_24,VDD,Metal1,17.7600,64.2600,1.200000
FILLER_13_0,VDD,Metal1,6.0000,64.2600,1.200000
FILLER_12_118,VDD,Metal1,62.6400,64.2600,1.200000
FILLER_12_103,VDD,Metal1,55.6800,64.2600,1.200000
FILLER_12_81,VDD,Metal1,45.1200,64.2600,1.200000
FILLER_12_60,VDD,Metal1,34.8000,64.2600,1.200000
FILLER_12_41,VDD,Metal1,25.6800,64.2600,1.200000
FILLER_12_39,VDD,Metal1,24.9600,64.2600,1.200000
FILLER_12_27,VDD,Metal1,19.2000,64.2600,1.200000
FILLER_11_117,VDD,Metal1,62.4000,56.7000,1.200000
FILLER_11_90,VDD,Metal1,49.4400,56.7000,1.200000
FILLER_11_85,VDD,Metal1,46.8000,56.7000,1.200000
FILLER_11_83,VDD,Metal1,46.0800,56.7000,1.200000
FILLER_11_5,VDD,Metal1,8.4000,56.7000,1.200000
FILLER_10_118,VDD,Metal1,62.6400,56.7000,1.200000
FILLER_10_116,VDD,Metal1,61.9200,56.7000,1.200000
FILLER_10_110,VDD,Metal1,58.8000,56.7000,1.200000
FILLER_10_108,VDD,Metal1,58.0800,56.7000,1.200000
FILLER_10_92,VDD,Metal1,50.1600,56.7000,1.200000
FILLER_10_78,VDD,Metal1,43.6800,56.7000,1.200000
FILLER_10_63,VDD,Metal1,36.2400,56.7000,1.200000
FILLER_10_61,VDD,Metal1,35.5200,56.7000,1.200000
FILLER_10_29,VDD,Metal1,19.9200,56.7000,1.200000
FILLER_10_27,VDD,Metal1,19.2000,56.7000,1.200000
FILLER_10_16,VDD,Metal1,13.6800,56.7000,1.200000
FILLER_9_100,VDD,Metal1,54.2400,49.1400,1.200000
FILLER_9_87,VDD,Metal1,47.7600,49.1400,1.200000
FILLER_9_35,VDD,Metal1,22.8000,49.1400,1.200000
FILLER_9_15,VDD,Metal1,13.2000,49.1400,1.200000
FILLER_9_13,VDD,Metal1,12.4800,49.1400,1.200000
FILLER_9_2,VDD,Metal1,6.9600,49.1400,1.200000
FILLER_9_0,VDD,Metal1,6.2400,49.1400,1.200000
FILLER_8_118,VDD,Metal1,62.6400,49.1400,1.200000
FILLER_8_91,VDD,Metal1,49.6800,49.1400,1.200000
FILLER_8_89,VDD,Metal1,48.9600,49.1400,1.200000
FILLER_8_72,VDD,Metal1,40.8000,49.1400,1.200000
FILLER_8_51,VDD,Metal1,30.4800,49.1400,1.200000
FILLER_8_5,VDD,Metal1,8.4000,49.1400,1.200000
FILLER_7_76,VDD,Metal1,42.4800,41.5800,1.199866
FILLER_7_74,VDD,Metal1,41.7600,41.5800,1.199866
FILLER_7_56,VDD,Metal1,32.8800,41.5800,1.199866
FILLER_7_42,VDD,Metal1,26.1600,41.5800,1.199882
FILLER_7_27,VDD,Metal1,18.9600,41.5800,1.199902
FILLER_7_20,VDD,Metal1,15.8400,41.5800,1.199902
FILLER_7_2,VDD,Metal1,6.9600,41.5800,1.199902
FILLER_7_0,VDD,Metal1,6.2400,41.5800,1.199902
FILLER_6_91,VDD,Metal1,49.6800,41.5800,1.199856
FILLER_6_89,VDD,Metal1,48.9600,41.5800,1.199858
FILLER_6_36,VDD,Metal1,23.5200,41.5800,1.199884
FILLER_6_18,VDD,Metal1,14.6400,41.5800,1.199902
FILLER_6_0,VDD,Metal1,6.0000,41.5800,1.199902
FILLER_5_38,VDD,Metal1,24.4800,34.0200,1.199492
FILLER_5_21,VDD,Metal1,16.0800,34.0200,1.199495
FILLER_5_0,VDD,Metal1,6.0000,34.0200,1.199495
FILLER_4_118,VDD,Metal1,62.6400,34.0200,1.199475
FILLER_4_100,VDD,Metal1,54.0000,34.0200,1.199475
FILLER_4_75,VDD,Metal1,42.0000,34.0200,1.199489
FILLER_4_73,VDD,Metal1,41.2800,34.0200,1.199489
FILLER_4_11,VDD,Metal1,11.2800,34.0200,1.199495
FILLER_4_7,VDD,Metal1,10.0910,33.4230,1.199495
FILLER_4_0,VDD,Metal1,7.4490,33.4210,1.199495
FILLER_3_118,VDD,Metal1,62.6400,26.4600,1.199420
FILLER_3_41,VDD,Metal1,25.9200,26.4600,1.199445
FILLER_3_35,VDD,Metal1,22.8000,26.4600,1.199460
FILLER_3_21,VDD,Metal1,16.0800,26.4600,1.199467
FILLER_3_14,VDD,Metal1,14.1690,27.0580,1.199467
FILLER_3_7,VDD,Metal1,10.8090,27.0580,1.199467
FILLER_3_0,VDD,Metal1,7.4490,27.0580,1.199467
FILLER_2_118,VDD,Metal1,62.6400,26.4600,1.199420
FILLER_2_112,VDD,Metal1,60.0000,26.4600,1.199420
FILLER_2_103,VDD,Metal1,55.4400,26.4600,1.199420
FILLER_2_51,VDD,Metal1,30.4800,26.4600,1.199443
FILLER_2_5,VDD,Metal1,9.8490,25.8610,1.199467
FILLER_1_111,VDD,Metal1,60.0110,19.4960,1.199547
FILLER_1_104,VDD,Metal1,57.3690,19.4980,1.199547
FILLER_1_7,VDD,Metal1,10.8090,19.4980,1.199552
FILLER_1_0,VDD,Metal1,7.4490,19.4980,1.199552
FILLER_0_117,VDD,Metal1,62.4000,18.9000,1.199547
FILLER_0_113,VDD,Metal1,60.9710,18.3030,1.199547
FILLER_0_106,VDD,Metal1,58.3290,18.3010,1.199547
FILLER_0_99,VDD,Metal1,54.9690,18.3010,1.199547
FILLER_0_92,VDD,Metal1,51.6090,18.3010,1.199547
FILLER_0_69,VDD,Metal1,39.3600,18.9000,1.199551
FILLER_0_35,VDD,Metal1,24.2490,18.3010,1.199551
FILLER_0_11,VDD,Metal1,11.2800,18.9000,1.199552
FILLER_0_7,VDD,Metal1,10.0910,18.3030,1.199552
FILLER_0_0,VDD,Metal1,7.4490,18.3010,1.199552
hold2,VDD,Metal1,40.5160,41.2640,1.199866
hold1,VDD,Metal1,17.5630,18.5840,1.199553
clkload0,VDD,Metal1,55.0900,19.2310,1.199547
clkbuf_1_1__f_clk,VDD,Metal1,57.5570,33.5670,1.199475
clkbuf_1_0__f_clk,VDD,Metal1,26.9220,26.0070,1.199445
clkbuf_0_clk,VDD,Metal1,41.3220,26.9120,1.199425
fanout37,VDD,Metal1,50.4710,26.1820,1.199420
output36,VDD,Metal1,19.2710,71.5420,1.200000
output35,VDD,Metal1,16.8710,71.5420,1.200000
output34,VDD,Metal1,10.6310,71.5420,1.200000
output33,VDD,Metal1,8.2310,71.5420,1.200000
output32,VDD,Metal1,17.3510,63.9820,1.200000
output31,VDD,Metal1,8.7110,63.9820,1.200000
output30,VDD,Metal1,10.0080,56.9770,1.200000
output29,VDD,Metal1,50.9510,56.9770,1.200000
output28,VDD,Metal1,49.3680,63.9820,1.200000
output27,VDD,Metal1,53.3510,56.9770,1.200000
output26,VDD,Metal1,6.7910,56.4220,1.200000
output25,VDD,Metal1,60.4080,56.4220,1.200000
output24,VDD,Metal1,60.8880,56.9770,1.200000
output23,VDD,Metal1,58.4880,56.9770,1.200000
output22,VDD,Metal1,46.6310,64.5370,1.200000
output21,VDD,Metal1,59.9280,71.5420,1.200000
output20,VDD,Metal1,49.0310,64.5370,1.200000
output19,VDD,Metal1,50.8080,71.5420,1.200000
output18,VDD,Metal1,48.0710,71.5420,1.200000
output17,VDD,Metal1,45.6710,71.5420,1.200000
output16,VDD,Metal1,43.2710,71.5420,1.200000
output15,VDD,Metal1,6.7910,48.8620,1.200000
output14,VDD,Metal1,41.2080,71.5420,1.200000
output13,VDD,Metal1,38.4710,71.5420,1.200000
output12,VDD,Metal1,36.0710,71.5420,1.200000
output11,VDD,Metal1,33.6710,71.5420,1.200000
