net,length_um
net59,113.12µm
net66,110.135µm
net61,104µm
_111_,95.55µm
net37,94.86µm
net69,94.425µm
net54,81.83µm
net67,79.575µm
DPATH.SUM.ha_0.S,78.735µm
net75,78.585µm
net71,78.095µm
net74,75.33µm
net68,68.75µm
_009_,67.195µm
net31,64.78µm
net58,64.355µm
_109_,62.905µm
clk,62.48µm
_101_,61.82µm
net73,61.48µm
_117_,60.07µm
net35,59.09µm
net56,58.13µm
net3,57.74µm
_106_,57.37µm
net60,56.965µm
net53,56.205µm
net63,54.965µm
net72,54.295µm
net64,54.23µm
net70,53.31µm
clknet_1_0__leaf_clk,52.485µm
_124_,49.725µm
net33,49.36µm
net57,48.96µm
net76,48.905µm
net7,46.17µm
net55,44.56µm
net26,42.8µm
net9,42.68µm
net62,42.23µm
_022_,40.755µm
_122_,37.87µm
sine_out[32],37.65µm
DPATH.SUM.fa_4.A,36.18µm
_051_,35.845µm
sine_out[0],35µm
net4,34.95µm
sine_out[31],34.52µm
net2,33.91µm
_114_,33.405µm
_102_,33.02µm
net1,33.01µm
sine_out[30],32.6µm
sine_out[29],32.49µm
clknet_1_1__leaf_clk,32.42µm
_076_,32.185µm
_100_,32.12µm
net32,31.305µm
_115_,30.8µm
sine_out[1],30.68µm
sine_out[28],30.21µm
_119_,29.665µm
_096_,29.34µm
_029_,28.88µm
net23,28.57µm
_078_,28.52µm
net19,28.51µm
_110_,28.49µm
_042_,27µm
net65,26.925µm
_065_,26.62µm
sine_out[10],26.48µm
sine_out[3],26.48µm
_058_,26.31µm
_112_,26.3µm
net10,26.28µm
_075_,26.06µm
sine_out[2],25.89µm
net24,25.88µm
sine_out[27],25.64µm
_116_,25.24µm
_014_,25.195µm
sine_out[26],25.16µm
clknet_0_clk,24.38µm
_099_,24.235µm
net30,24.19µm
sine_out[13],23.72µm
_118_,23.36µm
sine_out[4],23.34µm
sine_out[5],23.13µm
sine_out[8],23.12µm
net11,23.04µm
net13,22.92µm
sine_out[14],22.76µm
sine_out[15],22.65µm
sine_out[12],22.53µm
sine_out[11],22.28µm
sine_out[25],22.28µm
sine_out[6],22.28µm
DPATH.SUM.fa_2.S,22.15µm
sine_out[24],21.8µm
_045_,21.415µm
sine_out[23],21.32µm
_052_,21.175µm
_034_,21.13µm
sine_out[9],20.84µm
sine_out[22],20.36µm
_107_,20.19µm
net14,19.98µm
sine_out[21],19.88µm
_063_,19.82µm
net22,19.5µm
sine_out[20],19.4µm
sine_out[7],19.4µm
sine_out[19],18.92µm
sine_out[16],18.44µm
sine_out[18],18.44µm
_049_,18.435µm
sine_out[17],18.33µm
_086_,18.105µm
_028_,17.83µm
_068_,16.785µm
net6,16.27µm
net21,16.26µm
_031_,16.09µm
_019_,16.04µm
_021_,15.86µm
_108_,15.775µm
_084_,14.85µm
net34,14.77µm
_040_,14.71µm
_121_,14.52µm
_098_,14.445µm
net8,14.4µm
net16,13.98µm
net29,13.81µm
DPATH.SUM.fa_6.A,13.7µm
_053_,13.52µm
_043_,13.33µm
_047_,13.09µm
DPATH.SUM.fa_5.A,12.895µm
_026_,12.87µm
_016_,12.655µm
_061_,12.61µm
_056_,12.43µm
DPATH.SUM.fa_6.S,12.3µm
net17,12.2µm
_020_,12.19µm
net12,12.18µm
_037_,12.05µm
net27,11.95µm
net20,11.94µm
net36,11.875µm
_038_,11.41µm
_069_,11.35µm
DPATH.SUM.fa_1.A,11.255µm
net28,11.16µm
_087_,11.04µm
_095_,11.01µm
_057_,10.82µm
_041_,10.43µm
_050_,10.4µm
net5,10.09µm
_054_,9.98µm
_077_,9.9µm
_059_,9.67µm
_091_,9.525µm
CTRL.S0,9.415µm
signB,9.36µm
_088_,9.18µm
_004_,9.05µm
_033_,8.89µm
_089_,8.64µm
_005_,8.42µm
_018_,8.31µm
_013_,8.22µm
CTRL.P0,8.17µm
CTRL.P1,8.16µm
_007_,8.16µm
_032_,8.16µm
_085_,8.16µm
_067_,8.11µm
_097_,8.05µm
net15,7.93µm
_011_,7.81µm
_123_,7.69µm
rst,7.69µm
sign,7.68µm
_060_,7.56µm
_083_,7.45µm
_017_,7.26µm
net18,7.15µm
_073_,7.09µm
net38,6.98µm
_104_,6.84µm
DPATH.SUM.fa_1.S,6.78µm
_113_,6.78µm
_080_,6.42µm
_072_,6.22µm
_001_,6.19µm
DPATH.SUM.fa_4.S,6.06µm
DPATH.SUM.fa_3.S,5.94µm
_025_,5.28µm
_071_,5.16µm
_048_,5.155µm
_074_,5.1µm
_023_,5.07µm
_039_,4.87µm
_027_,4.86µm
_090_,4.86µm
_055_,4.81µm
_002_,4.56µm
DPATH.SUM.Cout0,4.44µm
DPATH.SUM.fa_3.A,4.38µm
_036_,4.32µm
_006_,4.1µm
DPATH.SUM.fa_2.A,3.96µm
_000_,3.9µm
_024_,3.9µm
_094_,3.9µm
_066_,3.83µm
_008_,3.72µm
_120_,3.715µm
_035_,3.61µm
_081_,3.6µm
_062_,3.54µm
_010_,3.48µm
_082_,3.48µm
_012_,3.42µm
_064_,3.42µm
_092_,3.42µm
_030_,3.18µm
_044_,3µm
_105_,3µm
_003_,2.94µm
_103_,2.76µm
_079_,2.52µm
_093_,2.52µm
net39,2.52µm
_015_,2.28µm
_046_,2.18µm
DPATH.SUM.fa_5.S,2.1µm
_070_,1.8µm
net25,1.685µm
