Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_15_125,VSS,Metal1,66.7080,75.2230,0.000000
FILLER_15_59,VSS,Metal1,34.3200,75.6000,0.000000
FILLER_15_57,VSS,Metal1,33.6000,75.6000,0.000000
FILLER_15_0,VSS,Metal1,6.2400,75.6000,0.000000
FILLER_14_128,VSS,Metal1,67.4400,68.0400,0.000000
FILLER_14_126,VSS,Metal1,66.7200,68.0400,0.000000
FILLER_14_91,VSS,Metal1,49.9200,68.0400,0.000000
FILLER_14_67,VSS,Metal1,38.4000,68.0400,0.000000
FILLER_14_38,VSS,Metal1,24.2400,68.0400,0.000000
FILLER_14_36,VSS,Metal1,23.5200,68.0400,0.000000
FILLER_14_30,VSS,Metal1,20.4000,68.0400,0.000000
FILLER_14_28,VSS,Metal1,19.6800,68.0400,0.000000
FILLER_14_0,VSS,Metal1,6.2400,68.0400,0.000000
FILLER_13_95,VSS,Metal1,51.6000,68.0400,0.000000
FILLER_13_93,VSS,Metal1,50.8800,68.0400,0.000000
FILLER_13_83,VSS,Metal1,46.0800,68.0400,0.000000
FILLER_13_74,VSS,Metal1,41.5200,68.0400,0.000000
FILLER_13_62,VSS,Metal1,35.7600,68.0400,0.000000
FILLER_13_60,VSS,Metal1,35.0400,68.0400,0.000000
FILLER_13_33,VSS,Metal1,21.8400,68.0400,0.000000
FILLER_13_28,VSS,Metal1,19.4400,68.0400,0.000000
FILLER_12_127,VSS,Metal1,67.2000,60.4800,0.000000
FILLER_12_96,VSS,Metal1,52.3200,60.4800,0.000000
FILLER_12_90,VSS,Metal1,49.4400,60.4800,0.000000
FILLER_12_75,VSS,Metal1,42.2400,60.4800,0.000000
FILLER_12_69,VSS,Metal1,39.1200,60.4800,0.000000
FILLER_12_67,VSS,Metal1,38.4000,60.4800,0.000000
FILLER_12_56,VSS,Metal1,33.1200,60.4800,0.000000
FILLER_12_42,VSS,Metal1,26.4000,60.4800,0.000000
FILLER_12_32,VSS,Metal1,21.3600,60.4800,0.000000
FILLER_12_26,VSS,Metal1,18.4800,60.4800,0.000000
FILLER_12_24,VSS,Metal1,17.7600,60.4800,0.000000
FILLER_12_13,VSS,Metal1,12.2400,60.4800,0.000000
FILLER_12_2,VSS,Metal1,6.9600,60.4800,0.000000
FILLER_12_0,VSS,Metal1,6.2400,60.4800,0.000000
FILLER_11_128,VSS,Metal1,67.4400,60.4800,0.000000
FILLER_11_104,VSS,Metal1,56.1600,60.4800,0.000000
FILLER_11_93,VSS,Metal1,50.8800,60.4800,0.000000
FILLER_11_81,VSS,Metal1,45.1200,60.4800,0.000000
FILLER_11_77,VSS,Metal1,43.6680,60.1030,0.000000
FILLER_11_70,VSS,Metal1,39.6000,60.4800,0.000000
FILLER_11_50,VSS,Metal1,30.0000,60.4800,0.000000
FILLER_11_44,VSS,Metal1,27.1200,60.4800,0.000000
FILLER_10_123,VSS,Metal1,65.0400,52.9200,0.000000
FILLER_10_93,VSS,Metal1,50.6400,52.9200,0.000000
FILLER_10_91,VSS,Metal1,49.9200,52.9200,0.000000
FILLER_10_84,VSS,Metal1,47.7660,53.3800,0.000000
FILLER_10_32,VSS,Metal1,21.3600,52.9200,0.000000
FILLER_10_30,VSS,Metal1,20.6400,52.9200,0.000000
FILLER_9_88,VSS,Metal1,48.2400,52.9200,0.000000
FILLER_9_84,VSS,Metal1,47.0280,52.5430,0.000000
FILLER_9_77,VSS,Metal1,44.4060,52.4590,0.000000
FILLER_9_61,VSS,Metal1,35.5200,52.9200,0.000000
FILLER_9_49,VSS,Metal1,29.7600,52.9200,0.000000
FILLER_8_110,VSS,Metal1,58.8000,45.3600,0.000233
FILLER_8_55,VSS,Metal1,32.4000,45.3600,0.000213
FILLER_8_53,VSS,Metal1,31.6800,45.3600,0.000209
FILLER_8_45,VSS,Metal1,27.6000,45.3600,0.000208
FILLER_8_43,VSS,Metal1,26.8800,45.3600,0.000208
FILLER_8_23,VSS,Metal1,17.0400,45.3600,0.000203
FILLER_8_21,VSS,Metal1,16.3200,45.3600,0.000203
FILLER_7_87,VSS,Metal1,49.2060,44.8990,0.000219
FILLER_7_70,VSS,Metal1,39.6000,45.3600,0.000218
FILLER_7_63,VSS,Metal1,37.6860,44.8990,0.000214
FILLER_7_41,VSS,Metal1,25.6800,45.3600,0.000203
FILLER_7_39,VSS,Metal1,24.9600,45.3600,0.000203
FILLER_7_25,VSS,Metal1,18.0000,45.3600,0.000203
FILLER_7_2,VSS,Metal1,6.9600,45.3600,0.000203
FILLER_7_0,VSS,Metal1,6.2400,45.3600,0.000203
FILLER_6_128,VSS,Metal1,67.4400,37.8000,0.000682
FILLER_6_100,VSS,Metal1,54.0000,37.8000,0.000651
FILLER_6_86,VSS,Metal1,47.5200,37.8000,0.000418
